Date	Price	Volume
04/24/2012	31.82	674500
04/25/2012	32.91	712200
04/26/2012	33.49	425300
04/27/2012	33.34	591000
04/30/2012	33.13	413900
05/01/2012	33.78	659000
05/02/2012	33.94	497300
05/03/2012	32.46	841300
05/04/2012	31.83	1247500
05/07/2012	32.47	1158000
05/08/2012	30.19	3097200
05/09/2012	30.06	1947900
05/10/2012	32.96	5556300
05/11/2012	32.25	1221300
05/14/2012	30.06	1380900
05/15/2012	29.43	1585700
05/16/2012	29.18	1257100
05/17/2012	28.57	1149000
05/18/2012	27.56	1616500
05/21/2012	28.77	1475200
05/22/2012	30.8	2366200
05/23/2012	31.02	1220400
05/24/2012	30.28	1075600
05/25/2012	29.81	757000
05/29/2012	31.69	1650000
05/30/2012	30.41	1307200
05/31/2012	29.5	1118700
06/01/2012	28.15	885800
06/04/2012	27.88	1030900
06/05/2012	27.91	630900
06/06/2012	29.22	909900
06/07/2012	28.93	492100
06/08/2012	30.08	881100
06/11/2012	29.12	636000
06/12/2012	29.66	569000
06/13/2012	29.77	844100
06/14/2012	29.39	872200
06/15/2012	29.91	646800
06/18/2012	31.84	1256800
06/19/2012	32.09	911100
06/20/2012	33.78	3422400
06/21/2012	32.19	1891900
06/22/2012	33.79	3046600
06/25/2012	33.11	1498500
06/26/2012	31.61	2613900
06/27/2012	31.96	1047200
06/28/2012	31.41	914100
06/29/2012	31.29	1125800
07/02/2012	30.4	1315600
07/03/2012	30.66	947000
07/05/2012	31.23	1253800
07/06/2012	30.99	784500
07/09/2012	31.49	910500
07/10/2012	31.27	758400
07/11/2012	31.51	638600
07/12/2012	32.7	1125700
07/13/2012	34.25	1304800
07/16/2012	35.96	1744000
07/17/2012	33.35	2569300
07/18/2012	32.15	2881900
07/19/2012	32.27	1435900
07/20/2012	31.79	1568500
07/23/2012	30.66	1386800
07/24/2012	29.84	1500300
07/25/2012	28.95	2842200
07/26/2012	28.13	2262300
07/27/2012	29.51	1673000
07/30/2012	27.35	2065200
07/31/2012	27.42	1575100
08/01/2012	26.25	1592300
08/02/2012	26.1	1305100
08/03/2012	27.27	1209500
08/06/2012	28.27	1528200
08/07/2012	30.25	2387200
08/08/2012	29.09	1308900
08/09/2012	29.41	672600
08/10/2012	29.94	707400
08/13/2012	31.17	870100
08/14/2012	29.42	793400
08/15/2012	29.4	525400
08/16/2012	30.3	669000
08/17/2012	30.01	508200
08/20/2012	29.51	1179100
08/21/2012	29.11	761600
08/22/2012	29.95	775500
08/23/2012	30.73	1471000
08/24/2012	29.5	1429400
08/27/2012	28.32	1350400
08/28/2012	28.69	1402700
08/29/2012	28.41	838900
08/30/2012	28.41	656400
08/31/2012	28.52	539800
09/04/2012	28.14	752500
09/05/2012	27.94	639300
09/06/2012	28.55	841700
09/07/2012	29.35	953200
09/10/2012	27.37	1483300
09/11/2012	27.8	1014900
09/12/2012	28.28	1145200
09/13/2012	29.48	1484700
09/14/2012	30.39	1536600
09/17/2012	32.54	3212800
09/18/2012	31.34	1788500
09/19/2012	31.05	1048500
09/20/2012	30.9	912400
09/21/2012	30.02	1870000
09/24/2012	30.66	1301900
09/25/2012	27.66	5680400
09/26/2012	27.54	1527200
09/27/2012	28.49	1758600
09/28/2012	29.28	4343400
10/01/2012	29.16	884400
10/02/2012	29.8	729000
10/03/2012	29.3	1052800
10/04/2012	29.4	1541300
10/05/2012	28.89	938600
10/08/2012	29.25	889700
10/09/2012	28.37	1193000
10/10/2012	28.4	503600
10/11/2012	28.32	450600
10/12/2012	27.64	987600
10/15/2012	27.33	1468700
10/16/2012	28.06	479300
10/17/2012	28.82	668000
10/18/2012	28.04	741000
10/19/2012	27.74	1027400
10/22/2012	27.85	470200
10/23/2012	28.39	749000
10/24/2012	27.42	1016400
10/25/2012	27.52	577700
10/26/2012	27.38	477400
10/31/2012	28.13	775200
11/01/2012	29.25	1024100
11/02/2012	28.92	1030300
11/05/2012	31.5	2048900
11/06/2012	31.15	2324000
11/07/2012	31.54	1714500
11/08/2012	31.31	1274000
11/09/2012	30.32	863000
11/12/2012	31.07	555900
11/13/2012	31.61	998300
11/14/2012	31.38	871300
11/15/2012	30.82	984000
11/16/2012	31.84	908700
11/19/2012	32.92	1392400
11/20/2012	33.0	922500
11/21/2012	32.47	963200
11/23/2012	32.13	430300
11/26/2012	32.27	495800
11/27/2012	32.15	910800
11/28/2012	33.23	1525200
11/29/2012	33.69	1103400
11/30/2012	33.82	1420300
12/03/2012	34.62	2085700
12/04/2012	33.9	1263300
12/05/2012	33.71	661500
12/06/2012	33.9	660400
12/07/2012	34.17	664400
12/10/2012	34.57	929800
12/11/2012	35.28	1572600
12/12/2012	35.26	2063800
12/13/2012	33.61	2151300
12/14/2012	33.81	1023000
12/17/2012	34.4	824900
12/18/2012	34.59	1553900
12/19/2012	34.61	1298800
12/20/2012	34.43	921200
12/21/2012	34.0	1492400
12/24/2012	34.28	375800
12/26/2012	33.59	601400
12/27/2012	33.69	561100
12/28/2012	33.22	414100
12/31/2012	33.87	594900
01/02/2013	35.36	1194800
01/03/2013	34.77	742000
01/04/2013	34.4	674000
01/07/2013	34.34	442000
01/08/2013	33.68	1284000
01/09/2013	33.64	698000
01/10/2013	33.53	922500
01/11/2013	32.91	1563200
01/14/2013	33.26	925100
01/15/2013	33.9	1624200
01/16/2013	34.1	1378200
01/17/2013	34.38	1436700
01/18/2013	34.52	3555100
01/22/2013	35.19	1920200
01/23/2013	36.0	1564300
01/24/2013	36.99	1970400
01/25/2013	36.98	1287800
01/28/2013	38.03	1986000
01/29/2013	37.95	1426600
01/30/2013	37.52	968100
01/31/2013	37.51	901400
02/01/2013	38.3	1100600
02/04/2013	37.74	1128000
02/05/2013	38.13	1310200
02/06/2013	39.17	1893200
02/07/2013	39.48	1196600
02/08/2013	39.24	1139800
02/11/2013	38.42	3266300
02/12/2013	37.89	2261300
02/13/2013	38.45	966800
02/14/2013	38.27	990700
02/15/2013	37.04	2017600
02/19/2013	39.28	2701400
02/20/2013	38.54	3122000
02/21/2013	35.16	9037800
02/22/2013	36.11	2547300
02/25/2013	34.38	2889400
02/26/2013	34.43	2762900
02/27/2013	35.1	1959200
02/28/2013	34.83	1964900
03/01/2013	34.65	1546600
03/04/2013	35.58	1757700
03/05/2013	36.65	2087000
03/06/2013	37.69	1150000
03/07/2013	38.23	1158300
03/08/2013	38.47	912100
03/11/2013	39.1	1579500
03/12/2013	39.12	1275100
03/13/2013	38.98	822000
03/14/2013	36.85	2021000
03/15/2013	35.29	3279600
03/18/2013	35.15	1316100
03/19/2013	35.08	1098500
03/20/2013	35.95	1423000
03/21/2013	36.01	1146300
03/22/2013	36.62	440200
03/25/2013	37.53	2378800
03/26/2013	37.86	1808200
03/27/2013	38.16	1296300
03/28/2013	37.89	1158700
04/01/2013	43.93	14098500
04/02/2013	44.34	6652400
04/03/2013	41.1	5643600
04/04/2013	42.01	2264800
04/05/2013	41.37	1552400
04/08/2013	41.83	1679000
04/09/2013	40.5	1696100
04/10/2013	41.86	2121100
04/11/2013	43.59	3447400
04/12/2013	43.75	3149400
04/15/2013	43.3	1681400
04/16/2013	45.59	3180400
04/17/2013	45.45	2118500
04/18/2013	46.97	3367900
04/19/2013	47.83	3011700
04/22/2013	50.19	3939400
04/23/2013	51.01	3733800
04/24/2013	50.43	2630000
04/25/2013	52.0	2795900
04/26/2013	51.2	3622100
04/29/2013	54.94	3639700
04/30/2013	53.99	5522600
05/01/2013	53.28	2742800
05/02/2013	54.11	3050400
05/03/2013	54.55	3378700
05/06/2013	59.5	4366700
05/07/2013	55.51	9991000
05/08/2013	55.79	6769900
05/09/2013	69.4	28605000
